"الشهر","حادث تلفيات","حادث اصابات","حادث وفيات"," مجموع عدد الحوادث","السبت","الا حد","الاثنين","الثلاثاء","الا ربعاء","الخميس","الجمعة","مجموع عدد الحوادث لجميع الأيام","نهارا","ليلا","مجموع عدد الحوادث حسب الوقت","داخل المدينة","خارج المدينة","مجموع عدد الحوادث حسب مكان الحادث","صغيرة","جيب","حافلة","ونيت","نقل","وايت","اخرى","مجموع عدد السيارات المشتركة في الحوادث حسب الطراز","-18.0","18+","30+","40+","50+","المجموع حسب العمر","سعودي ","اجنبي","المجموع حسب الجنسية","متزوج","اعزب","المجموع حسب الحالة الاجتماعية","متعلم ","امى","المجموع حسب الحالة التعليمية","نوع الرخصة خصوصى","نوع الرخصة عمومى","نوع الرخصة اليات ","نوع الرخصة دراجة","السائق لا يحمل رخصة قيادة","المجموع","السائق لا يحمل رخصة قيادة","الرخصة سارية ","الرخصة منتهية","المجموع","تصادم مع سيارة","تصادم مع جسم ثابت","دهس مشاة","دهس حيوان","حريق","انقلاب","خروج عن الطريق","أخرى","المجموع","توقف غير نظامى","دوران غير نظامى","تجاوز غير نظامى","عدم التقيد بالاشارة","السرعة الزائدة","السائق تحت تأثير مخدر","اخرى","مجموع الحوادث حسب سبب الحادث","عدد المصابين","عدد المتوفين (القتلى)","سليم","مجموع الأشخاص المشمولين بالحوادث"
"محرم","4405.0","119.0","55.0","4579.0","650.0","637.0","616.0","626.0","705.0","679.0","666.0","4579.0","2953.0","1626.0","4579.0","3214.0","1365.0","4579.0","3844.0","1827.0","310.0","1796.0","399.0","208.0","41.0","8425.0","364.0","2179.0","3220.0","2297.0","332.0","8392.0","5346.0","3046.0","8392.0","3849.0","4543.0","8392.0","8292.0","100.0","8392.0","4145.0","3416.0","232.0","384.0","215.0","8392.0","215.0","7904.0","273.0","8392.0","4229.0","79.0","37.0","3.0","0.0","43.0","113.0","75.0","4579.0","1166.0","370.0","460.0","1135.0","1416.0","0.0","32.0","4579.0","237.0","82.0","8752.0","9071.0"
"صفر","4473.0","111.0","60.0","4644.0","648.0","647.0","655.0","655.0","659.0","692.0","688.0","4644.0","2572.0","2072.0","4644.0","3009.0","1635.0","4644.0","3424.0","1444.0","298.0","2583.0","598.0","311.0","142.0","8800.0","320.0","2854.0","2227.0","2059.0","1191.0","8651.0","5943.0","2708.0","8651.0","5831.0","2820.0","8651.0","8551.0","100.0","8651.0","4251.0","3580.0","283.0","295.0","242.0","8651.0","242.0","7975.0","434.0","8651.0","4197.0","161.0","48.0","2.0","2.0","40.0","117.0","77.0","4644.0","775.0","852.0","314.0","1178.0","1402.0","0.0","123.0","4644.0","295.0","82.0","8665.0","9042.0"
"ربيع أول","4628.0","96.0","64.0","4788.0","838.0","672.0","632.0","614.0","659.0","672.0","701.0","4788.0","3019.0","1769.0","4788.0","3499.0","1289.0","4788.0","3694.0","1387.0","224.0","3001.0","442.0","138.0","131.0","9017.0","299.0","3004.0","2893.0","1755.0","995.0","8946.0","6402.0","2544.0","8946.0","4643.0","4303.0","8946.0","8846.0","100.0","8946.0","6358.0","2106.0","118.0","91.0","273.0","8946.0","273.0","8074.0","599.0","8946.0","4204.0","88.0","27.0","4.0","0.0","71.0","203.0","191.0","4788.0","211.0","968.0","107.0","1436.0","1163.0","0.0","903.0","4788.0","256.0","82.0","8963.0","9301.0"
"ربيع ثانى","4647.0","111.0","83.0","4841.0","628.0","652.0","778.0","784.0","648.0","692.0","659.0","4841.0","3153.0","1688.0","4841.0","3517.0","1324.0","4841.0","3305.0","1694.0","132.0","2801.0","524.0","76.0","56.0","8588.0","290.0","3345.0","2694.0","1543.0","592.0","8464.0","5703.0","2761.0","8464.0","4804.0","3660.0","8464.0","8314.0","150.0","8464.0","5787.0","2256.0","159.0","41.0","221.0","8464.0","221.0","7687.0","556.0","8464.0","4526.0","27.0","50.0","0.0","0.0","37.0","167.0","34.0","4841.0","748.0","988.0","324.0","101.0","794.0","0.0","1886.0","4841.0","314.0","95.0","8555.0","8964.0"
"جمادى أول","4419.0","81.0","52.0","4552.0","641.0","634.0","639.0","640.0","636.0","680.0","682.0","4552.0","2379.0","2173.0","4552.0","2378.0","2174.0","4552.0","3526.0","2399.0","129.0","1826.0","314.0","177.0","43.0","8414.0","300.0","2152.0","3224.0","2429.0","309.0","8414.0","5169.0","3245.0","8414.0","5300.0","3114.0","8414.0","8200.0","214.0","8414.0","4407.0","2940.0","181.0","670.0","216.0","8414.0","216.0","7569.0","629.0","8414.0","4445.0","12.0","40.0","1.0","1.0","26.0","8.0","19.0","4552.0","1411.0","1368.0","615.0","270.0","676.0","0.0","212.0","4552.0","191.0","67.0","8263.0","8521.0"
"جمادى ثانى","4325.0","112.0","54.0","4491.0","701.0","637.0","611.0","608.0","631.0","666.0","637.0","4491.0","3090.0","1401.0","4491.0","3085.0","1406.0","4491.0","4159.0","1286.0","83.0","2641.0","606.0","37.0","79.0","8891.0","101.0","3655.0","2687.0","1664.0","739.0","8846.0","5735.0","3111.0","8846.0","5006.0","3840.0","8846.0","8696.0","150.0","8846.0","6124.0","2498.0","0.0","43.0","181.0","8846.0","181.0","8328.0","337.0","8846.0","4227.0","26.0","42.0","2.0","1.0","56.0","71.0","66.0","4491.0","156.0","798.0","101.0","117.0","468.0","0.0","2851.0","4491.0","243.0","69.0","8871.0","9183.0"
"رجب","4410.0","97.0","56.0","4563.0","732.0","652.0","612.0","617.0","615.0","628.0","707.0","4563.0","2842.0","1721.0","4563.0","3070.0","1493.0","4563.0","4156.0","1199.0","59.0","3071.0","314.0","19.0","64.0","8882.0","97.0","3428.0","2819.0","1672.0","814.0","8830.0","6409.0","2421.0","8830.0","6314.0","2516.0","8830.0","8730.0","100.0","8830.0","6383.0","2185.0","0.0","55.0","207.0","8830.0","207.0","7834.0","789.0","8830.0","4212.0","80.0","41.0","1.0","0.0","31.0","112.0","86.0","4563.0","289.0","340.0","61.0","346.0","818.0","0.0","2709.0","4563.0","238.0","71.0","8779.0","9088.0"
"شعبان","4591.0","85.0","53.0","4729.0","801.0","714.0","652.0","604.0","629.0","693.0","636.0","4729.0","2785.0","1944.0","4729.0","3202.0","1527.0","4729.0","4469.0","1367.0","73.0","2711.0","488.0","26.0","69.0","9203.0","113.0","3619.0","3268.0","1320.0","804.0","9124.0","7225.0","1899.0","9124.0","4511.0","4613.0","9124.0","9024.0","100.0","9124.0","6576.0","2301.0","0.0","69.0","178.0","9124.0","178.0","8339.0","607.0","9124.0","4384.0","97.0","24.0","1.0","0.0","37.0","107.0","79.0","4729.0","106.0","279.0","71.0","217.0","987.0","0.0","3069.0","4729.0","242.0","65.0","9024.0","9331.0"
"رمضان","4712.0","113.0","82.0","4907.0","647.0","634.0","826.0","810.0","624.0","713.0","653.0","4907.0","1914.0","2993.0","4907.0","3452.0","1455.0","4907.0","4972.0","1386.0","72.0","2865.0","520.0","32.0","85.0","9932.0","338.0","2854.0","3469.0","2585.0","686.0","9932.0","7100.0","2832.0","9932.0","6107.0","3825.0","9932.0","9757.0","175.0","9932.0","5110.0","3909.0","0.0","558.0","355.0","9932.0","355.0","9081.0","496.0","9932.0","4667.0","61.0","68.0","1.0","0.0","35.0","9.0","66.0","4907.0","918.0","1000.0","1286.0","387.0","913.0","0.0","403.0","4907.0","351.0","134.0","11045.0","11530.0"
"شوال","4520.0","72.0","44.0","4636.0","636.0","589.0","690.0","588.0","704.0","722.0","707.0","4636.0","3147.0","1489.0","4636.0","2850.0","1786.0","4636.0","4749.0","1660.0","347.0","1761.0","395.0","222.0","138.0","9272.0","243.0","3795.0","2985.0","1541.0","708.0","9272.0","6498.0","2774.0","9272.0","4521.0","4751.0","9272.0","9183.0","89.0","9272.0","6865.0","2102.0","0.0","42.0","263.0","9272.0","263.0","8448.0","561.0","9272.0","3985.0","46.0","37.0","1.0","0.0","68.0","167.0","332.0","4636.0","105.0","295.0","95.0","246.0","1245.0","0.0","2650.0","4636.0","291.0","86.0","9048.0","9425.0"
